epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,2067.72,0.56471,0.64059,0.31805,0.80139,0,0.99321,0.99674,0.99462,0.91294,0.99221,0.99573,0.99461,0.7583,0.47542,0.61933,0.2666,0.78251,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2156.49,0.55901,0.63682,0.31498,0.80031,0,0.99343,0.99849,0.99483,0.91752,0.99281,0.99645,0.9947,0.76724,0.45675,0.59758,0.26077,0.78067,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2245.46,0.56268,0.63648,0.31504,0.80011,0,0.99542,0.99551,0.99482,0.91139,0.99441,0.99446,0.99478,0.76341,0.49198,0.63112,0.2665,0.78209,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2334.44,0.55683,0.63354,0.31345,0.8,0,0.99598,0.99605,0.99489,0.90561,0.99552,0.99445,0.99481,0.75434,0.49867,0.63689,0.26669,0.78362,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2423.4,0.55359,0.63153,0.30949,0.7998,0,0.99429,0.99771,0.99477,0.91194,0.99362,0.99704,0.99474,0.75717,0.47873,0.61732,0.26055,0.78256,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2512.39,0.55516,0.62999,0.30885,0.79922,0,0.99441,0.99801,0.99475,0.90954,0.99337,0.99663,0.99472,0.76,0.48283,0.60849,0.26219,0.78271,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2601.01,0.54892,0.62669,0.30581,0.79898,0,0.99601,0.99831,0.99475,0.91335,0.99399,0.99629,0.9947,0.75867,0.4704,0.62643,0.2539,0.78096,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2689.94,0.54353,0.6239,0.30214,0.79924,0,0.99576,0.99763,0.99488,0.91074,0.99456,0.99547,0.99481,0.75966,0.4743,0.62005,0.25591,0.78123,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2779.02,0.53354,0.61642,0.29858,0.79668,0,0.99611,0.99673,0.99489,0.92622,0.99547,0.99599,0.99487,0.77882,0.42834,0.5775,0.24377,0.7766,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2867.6,0.51787,0.59926,0.29163,0.79685,0,0.99453,0.99779,0.99487,0.93132,0.99319,0.99644,0.99481,0.78006,0.41549,0.57465,0.23958,0.77598,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2956.33,0.49962,0.58418,0.2857,0.79537,0,0.99531,0.99806,0.99487,0.93446,0.99464,0.99738,0.99486,0.7838,0.39926,0.54961,0.23491,0.77455,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3045.16,0.49355,0.57451,0.28279,0.79529,0,0.99663,0.99749,0.99476,0.93665,0.99563,0.99636,0.99473,0.78788,0.39173,0.53084,0.23139,0.77397,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3134.07,0.48068,0.56709,0.2778,0.79368,0,0.9965,0.99795,0.99488,0.93388,0.99617,0.99761,0.99485,0.78557,0.39784,0.54256,0.2305,0.77408,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3223.03,0.47428,0.56071,0.27572,0.79242,0,0.9962,0.99889,0.99494,0.93557,0.99553,0.99821,0.99491,0.78629,0.39316,0.53427,0.22704,0.77334,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3311.71,0.47167,0.55174,0.2745,0.7922,0,0.99488,0.99831,0.99492,0.93993,0.99421,0.99764,0.99491,0.78612,0.38238,0.53373,0.22398,0.77304,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3400.53,0.46749,0.55066,0.27143,0.79087,0,0.99601,0.999,0.99495,0.94074,0.99601,0.999,0.99495,0.789,0.38088,0.518,0.22344,0.77179,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3489.5,0.4636,0.54693,0.2689,0.79167,0,0.99637,0.99831,0.99492,0.94261,0.99599,0.99764,0.99491,0.79036,0.37716,0.52037,0.22138,0.77186,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3578.48,0.46083,0.53912,0.26757,0.7916,0,0.99589,0.99899,0.99486,0.94322,0.99556,0.99866,0.99485,0.79308,0.36857,0.51275,0.21861,0.77022,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3667.07,0.45912,0.54057,0.26786,0.79017,0,0.99685,0.99763,0.99491,0.9442,0.99621,0.99696,0.99488,0.7962,0.36937,0.51247,0.21902,0.77031,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3755.95,0.45322,0.53364,0.26282,0.79123,0,0.99611,0.99938,0.99494,0.94596,0.9951,0.99837,0.99493,0.79822,0.36676,0.50596,0.21722,0.77044,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3845.12,0.44951,0.52922,0.2613,0.79118,0,0.99578,0.99741,0.99486,0.94485,0.9938,0.99682,0.9948,0.79185,0.36621,0.50366,0.21581,0.77091,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3935.09,0.4496,0.52895,0.26154,0.78952,0,0.99671,0.99865,0.99493,0.9468,0.99632,0.99685,0.99493,0.79111,0.36746,0.50254,0.21279,0.77072,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4024.19,0.44707,0.52752,0.26102,0.78915,0,0.99504,0.99835,0.99492,0.94675,0.9947,0.99802,0.99494,0.79161,0.36372,0.50332,0.21344,0.77021,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
